"last_name, first_name",player_id,year,home_run,xba,xslg,xwoba,xobp,xiso,xwobacon,xbacon,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent
"Bruce, Jay",457803,2016,33,0.249,0.466,0.329,0.309,0.218,0.395,0.325,88.9,14.8,35.8,8.4,8.9,38.2
"Votto, Joey",458015,2016,29,0.301,0.532,0.399,0.416,0.231,0.443,0.379,89.6,11.6,40.5,9.7,6.5,39.9
"Gardner, Brett",458731,2016,7,0.252,0.345,0.311,0.344,0.093,0.318,0.311,86.5,7.4,27.8,2.4,2.2,24
"Saunders, Michael",459431,2016,24,0.234,0.404,0.318,0.323,0.17,0.398,0.345,90,11.1,33.2,7.7,9.5,44.5
"Braun, Ryan",460075,2016,30,0.282,0.47,0.349,0.348,0.188,0.399,0.351,90,4.6,27.2,8.4,5.5,38.9
"Gordon, Alex",460086,2016,17,0.23,0.423,0.323,0.322,0.193,0.414,0.345,87.8,15.2,35.2,8.7,7.4,36.6
"Kemp, Matt",461314,2016,35,0.267,0.522,0.347,0.307,0.255,0.438,0.353,88.2,14.5,37.2,11.1,7.5,38
"Andrus, Elvis",462101,2016,8,0.278,0.383,0.32,0.343,0.105,0.329,0.321,87.4,9,32.4,1.8,5.4,31.8
"Cabrera, Melky",466320,2016,14,0.276,0.384,0.312,0.329,0.107,0.32,0.312,89.5,11.2,33.6,2.1,4.2,34.2
"Ramos, Wilson",467092,2016,22,0.28,0.483,0.349,0.332,0.203,0.388,0.336,90.8,4.8,32.7,7.4,9.3,43.2
"Santana, Carlos",467793,2016,34,0.275,0.515,0.385,0.382,0.239,0.4,0.331,90.8,14.4,29.3,9.8,7,43.2
"Gonzalez, Carlos",471865,2016,25,0.275,0.465,0.339,0.33,0.19,0.404,0.354,90.2,9,32.2,8.6,5.9,41.2
"Mercer, Jordy",474568,2016,11,0.245,0.349,0.294,0.322,0.104,0.307,0.295,86.9,11.1,27.9,2.2,3.8,26.3
"Belt, Brandon",474832,2016,17,0.266,0.493,0.383,0.391,0.228,0.446,0.369,87.2,21.2,42.2,11.3,7,32.4
"Carter, Chris",474892,2016,41,0.237,0.536,0.368,0.336,0.299,0.507,0.373,91.7,18.6,36.3,17.6,9.9,46.2
"Alonso, Yonder",475174,2016,7,0.259,0.399,0.316,0.324,0.14,0.332,0.306,88.6,11.2,33.3,4.1,7.5,37.4
"Escobar, Yunel",488862,2016,5,0.279,0.382,0.316,0.334,0.103,0.327,0.32,89.3,1.9,27.8,2.8,3.1,36.1
"Cespedes, Yoenis",493316,2016,31,0.282,0.529,0.374,0.358,0.246,0.439,0.362,91.7,16.3,32.9,9.8,6.4,47.5
"Ramirez, Alexei",493351,2016,6,0.243,0.304,0.256,0.28,0.061,0.272,0.279,84.5,9,30.9,0.5,1.7,23.9
"Davis, Khris",501981,2016,42,0.251,0.564,0.369,0.313,0.313,0.484,0.359,92,13.3,31.5,17,5.1,48.2
"Martinez, J.D.",502110,2016,22,0.294,0.571,0.397,0.366,0.278,0.505,0.407,91.5,13.4,38,14.2,8.9,47.2
"Valencia, Danny",502143,2016,17,0.277,0.469,0.348,0.338,0.192,0.418,0.365,90.1,9.8,35.2,7.8,7.8,41.1
"Murphy, Daniel",502517,2016,25,0.318,0.564,0.395,0.37,0.247,0.421,0.357,90.7,16.8,36.3,8.5,7.1,41.5
"Goldschmidt, Paul",502671,2016,24,0.271,0.458,0.365,0.392,0.187,0.415,0.363,91,11,33,7.8,7.6,42.6
"Gonzalez, Marwin",503556,2016,13,0.234,0.39,0.288,0.276,0.156,0.356,0.314,89.3,9.3,30.3,5.4,5.9,35.9
"Altuve, Jose",514888,2016,24,0.318,0.526,0.385,0.382,0.207,0.402,0.356,88.3,11.4,39.3,6.9,6.6,36.4
"Hernandez, Cesar",514917,2016,6,0.268,0.349,0.312,0.351,0.081,0.341,0.343,87,5,29.9,1.8,1.4,29.2
"Segura, Jean",516416,2016,20,0.274,0.459,0.339,0.329,0.184,0.37,0.326,89,7.9,31,5.9,5.7,33.8
"Castro, Starlin",516770,2016,21,0.262,0.419,0.308,0.295,0.156,0.365,0.329,88.5,8.9,32.3,5.4,4.9,34.2
"Marte, Starling",516782,2016,9,0.281,0.435,0.332,0.335,0.154,0.389,0.358,87.5,9.2,35.8,5.4,7,37
"Donaldson, Josh",518626,2016,37,0.279,0.553,0.403,0.401,0.274,0.438,0.35,92.2,14.9,32.4,12.3,6.7,49.2
"Freeman, Freddie",518692,2016,34,0.282,0.568,0.397,0.386,0.286,0.504,0.399,91.3,17.3,44.7,13.2,9.5,44.7
"Heyward, Jason",518792,2016,7,0.251,0.349,0.301,0.326,0.098,0.313,0.304,86.8,10.7,28.9,3,3,30.9
"LeMahieu, DJ",518934,2016,11,0.337,0.49,0.391,0.41,0.153,0.415,0.393,91.8,6.1,36.2,4.9,5.6,47.7
"Lucroy, Jonathan",518960,2016,24,0.274,0.468,0.345,0.341,0.193,0.394,0.343,87.6,14.5,37.6,7.4,5.3,35
"Moreland, Mitch",519048,2016,22,0.255,0.474,0.337,0.319,0.219,0.414,0.344,90.6,14.4,33.6,9.6,6.1,39.5
"Rizzo, Anthony",519203,2016,32,0.264,0.486,0.363,0.363,0.222,0.388,0.324,89.1,16.3,31.6,9.2,5.9,36.2
"Vogt, Stephen",519390,2016,14,0.26,0.413,0.313,0.314,0.153,0.344,0.312,85.9,19.4,40.7,5.1,5.1,26.8
"Galvis, Freddy",520471,2016,20,0.229,0.344,0.262,0.265,0.115,0.322,0.3,87.4,13.6,33.9,2.8,4.8,27.4
"Perez, Salvador",521692,2016,22,0.234,0.394,0.288,0.276,0.16,0.346,0.304,88.8,18.9,29.5,6.3,6,37.8
"Forsythe, Logan",523253,2016,20,0.271,0.478,0.352,0.34,0.207,0.42,0.36,90,13.6,38.9,7.5,8.8,38.9
"Inciarte, Ender",542255,2016,3,0.264,0.33,0.291,0.327,0.066,0.295,0.303,85.5,8.2,31.5,0.7,1.7,15
"Ozuna, Marcell",542303,2016,23,0.276,0.469,0.343,0.331,0.193,0.397,0.346,90.8,10.9,32.3,7.8,5.6,42.2
"Villar, Jonathan",542340,2016,19,0.242,0.377,0.315,0.335,0.136,0.379,0.346,90.3,4.7,28.8,6.4,5.7,38.2
"Crawford, Brandon",543063,2016,12,0.252,0.408,0.317,0.328,0.156,0.358,0.32,88.9,12.9,33.8,5.4,6.9,34.7
"Harrison, Josh",543281,2016,4,0.238,0.35,0.269,0.27,0.112,0.296,0.28,86.5,13,36.6,2.1,5.4,22.9
"Hosmer, Eric",543333,2016,25,0.26,0.442,0.331,0.325,0.182,0.382,0.333,92,4,26,9.2,6.1,44.2
"Kipnis, Jason",543401,2016,23,0.27,0.453,0.345,0.341,0.183,0.405,0.355,89.9,14.8,38.2,6.7,7.8,39.5
"Miller, Brad",543543,2016,30,0.242,0.44,0.321,0.305,0.198,0.395,0.333,90.6,12,29.6,9.7,6.7,42.5
"Rendon, Anthony",543685,2016,20,0.267,0.454,0.349,0.351,0.187,0.387,0.338,91.1,16.9,35.4,5.9,9,41.5
"Semien, Marcus",543760,2016,27,0.225,0.411,0.303,0.289,0.186,0.357,0.299,88,15.4,31.8,6.7,7.7,35.3
"Shaw, Travis",543768,2016,16,0.234,0.42,0.308,0.299,0.186,0.38,0.322,88.7,16,34.2,8,6.6,34.2
"Springer III, George",543807,2016,29,0.26,0.471,0.359,0.36,0.211,0.428,0.361,89.4,8.8,32.1,10.5,6,38.5
"Gregorius, Didi",544369,2016,20,0.248,0.353,0.274,0.278,0.105,0.3,0.288,86.1,14.6,32.4,2.9,2.9,25.3
"Trout, Mike",545361,2016,29,0.304,0.573,0.427,0.436,0.268,0.496,0.407,90.9,13.8,37.6,14.4,5.8,40.3
"Herrera, Odubel",546318,2016,15,0.236,0.355,0.296,0.318,0.119,0.33,0.308,87.7,10.3,30.7,4.2,4.6,30.9
"Harper, Bryce",547180,2016,24,0.25,0.44,0.352,0.386,0.189,0.379,0.325,88.9,15.2,30.1,7.3,4.5,36.1
"Martin, Leonys",547982,2016,15,0.223,0.332,0.277,0.288,0.109,0.337,0.314,87.6,12.9,30.3,5,4.5,31.3
"Abreu, Jose",547989,2016,25,0.28,0.467,0.348,0.344,0.187,0.396,0.348,89.7,10.3,32.7,7.9,5.3,39.4
"Suarez, Eugenio",553993,2016,21,0.236,0.393,0.306,0.308,0.157,0.366,0.324,86.6,16,38.3,6.3,3.9,29.1
"Polanco, Gregory",570256,2016,22,0.273,0.441,0.337,0.34,0.168,0.394,0.354,89.9,14,34.5,6,6.7,40
"Schoop, Jonathan",570731,2016,25,0.251,0.409,0.299,0.285,0.158,0.361,0.323,87.4,11.9,29.7,6.9,3.7,35.1
"Arenado, Nolan",571448,2016,41,0.263,0.483,0.347,0.337,0.221,0.377,0.314,89.5,18.8,32.7,9,5.5,39.8
"Gennett, Scooter",571697,2016,14,0.228,0.337,0.275,0.286,0.109,0.314,0.297,86.9,12.3,34.4,3.9,3.4,24.5
"Lamb, Jake",571875,2016,29,0.246,0.469,0.343,0.333,0.223,0.428,0.351,91.3,10.4,34.6,11.5,6.2,43.4
"Myers, Wil",571976,2016,28,0.252,0.433,0.334,0.333,0.181,0.397,0.344,88.6,10.1,36.7,7,7,39.2
"Piscotty, Stephen",572039,2016,22,0.263,0.461,0.343,0.334,0.198,0.396,0.34,88.3,13.7,33.4,8.6,6.9,37.8
"Seager, Kyle",572122,2016,30,0.293,0.512,0.377,0.374,0.219,0.417,0.358,90.3,16.8,36.3,9,7.7,41.3
"Carpenter, Matt",572761,2016,21,0.284,0.54,0.397,0.395,0.256,0.45,0.369,90.7,18.2,43,11.3,8.1,41.9
"Dickerson, Corey",572816,2016,24,0.23,0.438,0.304,0.28,0.208,0.382,0.313,89,18.1,34.1,11.1,5.6,38.1
"Dozier, Brian",572821,2016,42,0.235,0.46,0.329,0.311,0.225,0.376,0.302,88.1,18.8,31.2,8.3,7.4,36.2
"Iglesias, Jose",578428,2016,4,0.251,0.312,0.276,0.305,0.061,0.273,0.281,83.6,8.3,29,0.7,0.9,20.8
"Hechavarria, Adeiny",588751,2016,3,0.271,0.358,0.293,0.317,0.088,0.318,0.317,88.1,8,29.8,1.1,3.9,31.4
"Bryant, Kris",592178,2016,39,0.267,0.548,0.386,0.365,0.28,0.457,0.359,89.3,20.8,36.3,11.7,8,38.9
"Machado, Manny",592518,2016,37,0.289,0.525,0.366,0.342,0.236,0.425,0.356,90.3,14.5,34.9,9.3,8.6,43.2
"Realmuto, J.T.",592663,2016,11,0.266,0.387,0.306,0.311,0.121,0.35,0.332,88.6,9.8,28.4,3.9,3.4,35.2
"Yelich, Christian",592885,2016,21,0.301,0.507,0.383,0.384,0.206,0.455,0.399,92.6,2.7,31.9,9.7,7.2,49.9
"Bogaerts, Xander",593428,2016,21,0.257,0.402,0.319,0.324,0.145,0.349,0.318,89,11,28,5.3,4.7,32.7
"Calhoun, Kole",594777,2016,18,0.271,0.454,0.35,0.351,0.183,0.384,0.339,89.8,15.1,36.2,6.2,8.3,40.5
"Duvall, Adam",594807,2016,33,0.247,0.491,0.336,0.304,0.244,0.434,0.347,88.6,19.2,36.1,12.1,7.8,41.4
"Eaton, Adam",594809,2016,14,0.268,0.397,0.33,0.351,0.129,0.352,0.331,89.1,4.9,31.1,3.1,6,36.2
"Lindor, Francisco",596019,2016,15,0.288,0.424,0.338,0.352,0.135,0.355,0.335,88.7,7.9,34.6,4.1,3.9,33.5
"Odor, Rougned",596059,2016,33,0.253,0.462,0.318,0.282,0.209,0.393,0.329,89.6,14.3,31.2,7.8,8.4,37.6
"Cuthbert, Cheslor",596144,2016,12,0.232,0.329,0.268,0.28,0.097,0.301,0.29,89.3,12.4,27,2.4,5,36.9
"Franco, Maikel",596748,2016,25,0.259,0.431,0.318,0.313,0.172,0.359,0.317,89.5,11.8,28.6,6.9,5.8,40.7
"Bradley Jr., Jackie",598265,2016,26,0.241,0.434,0.331,0.33,0.193,0.386,0.326,90.3,10.1,29,8.6,7.1,39.3
"Betts, Mookie",605141,2016,31,0.278,0.446,0.336,0.33,0.167,0.352,0.317,89.7,12.5,31.7,5.2,6.7,39.9
"Panik, Joe",605412,2016,10,0.259,0.399,0.322,0.339,0.14,0.315,0.289,86.3,13,30.6,4.5,4,26.8
"Pillar, Kevin",607680,2016,7,0.258,0.361,0.289,0.297,0.104,0.319,0.309,87.1,11.6,27.8,3,4.7,30.2
"Ramirez, Jose",608070,2016,11,0.29,0.416,0.331,0.345,0.126,0.338,0.325,88.4,13.2,35,3,5.5,32.9
"Russell, Addison",608365,2016,21,0.232,0.412,0.314,0.317,0.18,0.363,0.309,87.6,15.2,32.3,9.3,2.3,31.6
"Seager, Corey",608369,2016,26,0.304,0.521,0.377,0.364,0.217,0.444,0.387,91.1,10.3,37.5,8.3,7.5,44
"Mazara, Nomar",608577,2016,20,0.262,0.428,0.325,0.321,0.166,0.374,0.335,88,8.6,32.6,6.8,5.4,35
"Garcia, Adonis",611177,2016,14,0.28,0.424,0.32,0.319,0.144,0.366,0.34,89,7.9,30.1,5.2,3.4,34.9
"Correa, Carlos",621043,2016,20,0.285,0.481,0.367,0.372,0.197,0.429,0.375,91,7,32.9,7.7,7.7,43.5
"Tomas, Yasmany",630111,2016,31,0.275,0.497,0.346,0.317,0.222,0.442,0.372,90.6,10,33.7,10.6,6.6,42
"Beltran, Carlos",136860,2017,14,0.229,0.369,0.284,0.284,0.139,0.325,0.293,87.3,13.4,29.4,4.6,5.4,31
"Pujols, Albert",405395,2017,23,0.262,0.444,0.316,0.305,0.182,0.349,0.308,88.7,13.5,31.9,5.4,7.7,39.2
"Mauer, Joe",408045,2017,7,0.308,0.469,0.368,0.387,0.161,0.389,0.364,90.6,6.2,35.7,4.5,5.8,46.3
"Cabrera, Miguel",408234,2017,16,0.282,0.521,0.37,0.359,0.239,0.437,0.367,91.1,12.4,41.7,10.5,10.8,48.2
"Phillips, Brandon",408252,2017,13,0.272,0.38,0.3,0.308,0.108,0.322,0.312,84.6,8.2,31.1,2.4,3,25.1
"Reyes, Jose",408314,2017,15,0.242,0.351,0.293,0.313,0.108,0.3,0.287,84.3,15.8,32.8,2.6,4.2,24.2
"Choo, Shin-Soo",425783,2017,22,0.269,0.476,0.367,0.368,0.207,0.419,0.358,88.7,7.9,36.1,8.6,6.2,37.8
"Molina, Yadier",425877,2017,18,0.272,0.462,0.33,0.316,0.189,0.363,0.319,87.9,14.5,35.2,5.9,6.2,35
"Cano, Robinson",429664,2017,23,0.294,0.486,0.355,0.352,0.192,0.384,0.343,90.3,7.5,33.9,6.3,7.1,44
"Encarnacion, Edwin",429665,2017,38,0.266,0.53,0.389,0.387,0.264,0.436,0.35,89.2,16.8,36.4,10.3,7.3,42.5
"Bautista, Jose",430832,2017,23,0.21,0.38,0.306,0.316,0.171,0.346,0.293,88.3,17,29.7,6.6,6.8,35.6
"Jones, Adam",430945,2017,26,0.263,0.438,0.317,0.302,0.175,0.364,0.323,86.9,11.9,33.6,6.4,5.1,31.1
"Granderson, Curtis",434158,2017,26,0.225,0.454,0.34,0.337,0.229,0.39,0.311,87.7,20.2,33.1,10.9,6.7,34.4
"Ramirez, Hanley",434670,2017,23,0.264,0.482,0.347,0.34,0.218,0.408,0.344,88.5,12.6,35,9.5,6.3,38.4
"Morales, Kendrys",434778,2017,28,0.27,0.512,0.354,0.327,0.241,0.426,0.352,91.1,9.5,31.1,10,7.5,46.6
"Kinsler, Ian",435079,2017,22,0.256,0.428,0.328,0.331,0.172,0.341,0.304,86.3,19.5,37.2,4.9,6,30.1
"Cruz Jr., Nelson",443558,2017,39,0.288,0.597,0.405,0.378,0.309,0.487,0.382,93.2,12.4,34.5,14.2,9.7,48.3
"Trumbo, Mark",444432,2017,23,0.237,0.403,0.3,0.291,0.166,0.369,0.323,89.8,12.7,26.5,7.1,5.8,38.5
"Peralta, David",444482,2017,14,0.262,0.399,0.316,0.324,0.136,0.343,0.318,88,4.2,27,4.1,4.8,35.4
"Escobar, Alcides",444876,2017,6,0.253,0.355,0.272,0.275,0.101,0.312,0.304,84,14,34.1,2.2,4.5,21
"Longoria, Evan",446334,2017,20,0.249,0.411,0.31,0.306,0.161,0.338,0.301,86.7,12.7,32.4,5.2,6.2,32.4
"Cozart, Zack",446359,2017,24,0.255,0.4,0.33,0.349,0.146,0.336,0.308,85.8,14.8,35.7,4.4,4.7,28.9
"Reynolds, Mark",448602,2017,30,0.224,0.421,0.319,0.315,0.198,0.405,0.335,87.2,11.8,36.5,8.3,8.3,35.9
"Davis, Chris",448801,2017,26,0.223,0.447,0.329,0.32,0.224,0.489,0.392,90.1,15,40.4,12.8,8.7,45.5
"Headley, Chase",452104,2017,12,0.25,0.387,0.316,0.333,0.137,0.361,0.333,87.2,11.7,36.9,4.6,5.2,33.2
"Pence, Hunter",452254,2017,13,0.255,0.425,0.319,0.313,0.17,0.363,0.321,89,4.2,25.3,5.8,6.1,37.6
"Span, Denard",452655,2017,12,0.283,0.409,0.327,0.34,0.126,0.343,0.329,85.3,11,34.2,3.3,3.3,25.1
"Cabrera, Asdrubal",452678,2017,14,0.264,0.43,0.331,0.338,0.166,0.351,0.316,87.2,12,37.6,4.7,6.7,33.5
"Blackmon, Charlie",453568,2017,37,0.29,0.519,0.372,0.363,0.229,0.428,0.365,87.3,13.4,38.1,8.7,6,36.4
"Frazier, Todd",453943,2017,27,0.234,0.456,0.355,0.363,0.221,0.389,0.317,87.5,20.3,33.1,9.6,6.2,30.3
"Markakis, Nick",455976,2017,8,0.269,0.382,0.32,0.35,0.113,0.341,0.33,88.3,8.8,34,3.3,3.7,34.7
"Cain, Lorenzo",456715,2017,15,0.3,0.432,0.348,0.364,0.132,0.378,0.362,89.1,10.2,32.1,3.5,4.7,35.6
"McCutchen, Andrew",457705,2017,28,0.283,0.481,0.362,0.367,0.198,0.402,0.354,88.4,14.2,33.7,7.7,6.1,38.9
"Upton, Justin",457708,2017,35,0.255,0.508,0.361,0.345,0.253,0.468,0.375,88.8,15.7,36,13.2,6.1,41.3
"Turner, Justin",457759,2017,21,0.298,0.548,0.399,0.398,0.249,0.399,0.336,89.4,18.5,37.7,8.6,5.6,38.6
"Posey III, Buster",457763,2017,12,0.277,0.443,0.345,0.365,0.165,0.352,0.319,88.7,11.6,36.5,3.5,6.7,34.8
"Bruce, Jay",457803,2017,36,0.261,0.501,0.354,0.332,0.241,0.424,0.347,88.4,18.4,39.4,10.5,8.8,38.8
"Votto, Joey",458015,2017,36,0.299,0.555,0.416,0.439,0.257,0.417,0.348,87.5,14.1,40.5,9.1,7.3,32.8
"Gardner, Brett",458731,2017,21,0.269,0.404,0.333,0.355,0.135,0.36,0.338,86.4,10.3,34.4,3.8,5.4,31
"Joyce, Matt",459964,2017,25,0.254,0.48,0.356,0.349,0.226,0.404,0.335,88.2,15.1,38.3,8.8,8.3,34.4
"Gordon, Alex",460086,2017,9,0.225,0.358,0.296,0.312,0.133,0.338,0.308,86.3,13.8,34.6,4.5,6.7,31.3
"Andrus, Elvis",462101,2017,20,0.264,0.406,0.309,0.308,0.141,0.338,0.313,86.5,7.6,32.5,4.2,3.8,31.3
"Cabrera, Melky",466320,2017,17,0.297,0.426,0.331,0.337,0.13,0.351,0.337,88.3,8.9,33.6,3.8,4.7,35.1
"Santana, Carlos",467793,2017,23,0.266,0.463,0.359,0.371,0.197,0.368,0.32,88.6,13,28.4,7.5,6.5,38.6
"Gonzalez, Carlos",471865,2017,14,0.235,0.367,0.303,0.318,0.132,0.343,0.314,87.5,6.2,28.9,5.9,5.9,37
"Mercer, Jordy",474568,2017,14,0.254,0.374,0.299,0.326,0.121,0.323,0.307,85.8,9.1,35.3,3.1,5,32.4
"Alonso, Yonder",475174,2017,28,0.26,0.497,0.362,0.359,0.237,0.427,0.352,89.2,19.4,35.7,9.9,6.9,41.1
"Smoak, Justin",475253,2017,38,0.278,0.567,0.39,0.363,0.289,0.454,0.36,89.6,17.1,39.4,13.6,5.5,43
"Zimmerman, Ryan",475582,2017,36,0.29,0.555,0.378,0.347,0.265,0.462,0.379,91.4,8.3,32.3,12.2,7.9,49.1
"Lowrie, Jed",476704,2017,14,0.289,0.481,0.365,0.371,0.191,0.392,0.349,89.1,18.7,43.2,6,6.4,37.7
"Morrison, Logan",489149,2017,38,0.253,0.511,0.368,0.361,0.258,0.448,0.357,88.6,17.6,39.6,12.8,7.1,42.3
"Gurriel, Yuli",493329,2017,18,0.287,0.435,0.326,0.323,0.148,0.347,0.324,89.9,10.4,29.2,3.4,7.8,43.5
"Solarte, Yangervis",500208,2017,18,0.242,0.376,0.295,0.305,0.134,0.302,0.278,85.4,14.7,31.8,3.9,4.6,27.6
"Freese, David",501896,2017,10,0.258,0.395,0.341,0.368,0.137,0.389,0.357,88.9,3.1,31.2,6.4,4.5,42.9
"Davis, Khris",501981,2017,43,0.259,0.575,0.387,0.349,0.316,0.522,0.393,92.2,14.2,37.6,17.7,9.3,52.4
"Pham, Tommy",502054,2017,23,0.278,0.481,0.377,0.388,0.203,0.432,0.375,89.6,6.9,34.3,9.3,3.9,43.7
"Reddick, Josh",502210,2017,13,0.291,0.44,0.34,0.347,0.149,0.363,0.34,87.7,17.8,38.3,3.8,5.3,31.6
"Murphy, Daniel",502517,2017,23,0.301,0.492,0.359,0.366,0.191,0.389,0.35,89.6,17.3,39.6,4.8,7.4,41.8
"Goldschmidt, Paul",502671,2017,36,0.284,0.56,0.397,0.393,0.276,0.475,0.383,91.5,11.6,32.8,13.3,8.4,47.5
"Gonzalez, Marwin",503556,2017,23,0.247,0.408,0.32,0.33,0.161,0.355,0.318,88.7,11.7,29.4,6.6,4.7,36.6
"Altuve, Jose",514888,2017,24,0.291,0.477,0.36,0.363,0.187,0.378,0.338,86.1,9.7,34.8,6.7,4.9,28.1
"Hernandez, Cesar",514917,2017,9,0.271,0.396,0.331,0.355,0.125,0.36,0.342,85.7,4.5,33.3,2.9,5.4,29.7
"Segura, Jean",516416,2017,11,0.272,0.402,0.315,0.325,0.13,0.343,0.324,87.6,6.7,32.8,3.2,5.7,34.5
"Freeman, Freddie",518692,2017,28,0.292,0.595,0.406,0.392,0.302,0.469,0.373,89.7,16,40.1,13.3,5.5,42.7
"LeMahieu, DJ",518934,2017,8,0.304,0.404,0.341,0.37,0.1,0.357,0.355,89.3,3.3,31.7,1.9,4.7,41.4
"Moreland, Mitch",519048,2017,22,0.271,0.532,0.371,0.351,0.261,0.437,0.355,89.3,11.6,34.9,12,5.9,36.4
"Moustakas, Mike",519058,2017,38,0.268,0.492,0.338,0.314,0.224,0.383,0.323,87.4,18.2,34,8.6,6,33.8
"Rizzo, Anthony",519203,2017,32,0.285,0.522,0.395,0.405,0.237,0.403,0.339,88.4,15.5,34.2,9.3,5.6,39.1
"Souza Jr., Steven",519306,2017,30,0.238,0.458,0.35,0.352,0.219,0.443,0.363,88.8,11.7,33.4,11.5,3.2,38.6
"Stanton, Giancarlo",519317,2017,59,0.277,0.599,0.403,0.373,0.322,0.501,0.38,92,11.2,31.6,17.4,6.2,45.6
"Thames, Eric",519346,2017,31,0.228,0.455,0.342,0.343,0.227,0.436,0.35,88.2,12.8,36.3,11.1,6.9,39.3
"Galvis, Freddy",520471,2017,12,0.242,0.36,0.286,0.298,0.118,0.312,0.295,86.3,15.2,32.8,2.4,4.6,23.5
"Garcia, Avisail",541645,2017,18,0.296,0.513,0.365,0.349,0.218,0.434,0.377,90.3,7.6,31.4,8.8,5.1,40.8
"Inciarte, Ender",542255,2017,11,0.264,0.351,0.292,0.315,0.087,0.308,0.308,82.8,10.2,34.3,0.5,4.2,13.1
"Ozuna, Marcell",542303,2017,37,0.284,0.52,0.369,0.351,0.236,0.44,0.37,90.9,10.2,31,9.3,8.1,45.6
"Beckham, Tim",542921,2017,22,0.261,0.446,0.327,0.313,0.186,0.436,0.381,88.4,8.5,34.8,9.5,5.2,40.7
"Crawford, Brandon",543063,2017,14,0.241,0.394,0.302,0.3,0.153,0.347,0.31,87.5,11.3,34.8,5.8,5.1,33.5
"Harrison, Josh",543281,2017,16,0.252,0.39,0.311,0.323,0.138,0.333,0.309,84.9,16.5,38.4,2.7,8.5,24.1
"Hosmer, Eric",543333,2017,25,0.286,0.454,0.352,0.357,0.168,0.382,0.347,89.8,3.9,30.3,7,3.8,39.4
"Rendon, Anthony",543685,2017,25,0.275,0.478,0.369,0.384,0.203,0.375,0.326,89.8,18.3,34.7,6.5,7.4,38.4
"Shaw, Travis",543768,2017,31,0.251,0.44,0.328,0.329,0.189,0.388,0.336,88.6,14.9,34.7,7.4,6.7,39.4
"Springer III, George",543807,2017,34,0.288,0.528,0.384,0.373,0.241,0.429,0.36,89.2,9.3,31.1,9.3,7.9,43.2
"Strange-Gordon, Dee",543829,2017,2,0.261,0.317,0.274,0.3,0.056,0.294,0.307,81.6,2.2,27.7,0.2,1.2,11.2
"Gregorius, Didi",544369,2017,25,0.262,0.385,0.294,0.298,0.123,0.315,0.3,84.5,17.7,35.5,3.6,3.4,20.9
"Trout, Mike",545361,2017,33,0.294,0.589,0.425,0.434,0.295,0.472,0.377,88.8,18,36.4,13.3,4.7,39.9
"Herrera, Odubel",546318,2017,14,0.261,0.408,0.308,0.307,0.148,0.376,0.344,87.2,9.7,35.1,6.2,4.7,32.3
"Abreu, Jose",547989,2017,33,0.29,0.52,0.364,0.342,0.231,0.42,0.358,90.6,11.1,34.2,9.5,7.7,45.2
"Suarez, Eugenio",553993,2017,26,0.261,0.439,0.352,0.368,0.179,0.404,0.357,86.2,14.8,39,6.9,7.1,32.1
"Santana, Domingo",570267,2017,30,0.266,0.461,0.355,0.361,0.195,0.461,0.401,89.2,10.5,40.6,9.4,6,40.4
"Sanchez, Yolmer",570560,2017,12,0.241,0.356,0.285,0.297,0.115,0.329,0.312,84.8,10.4,32.6,3.4,3.1,24.6
"Schoop, Jonathan",570731,2017,32,0.271,0.441,0.33,0.32,0.171,0.391,0.35,87.8,13,35.3,7,6.2,37.2
"Arenado, Nolan",571448,2017,37,0.28,0.525,0.366,0.349,0.245,0.406,0.337,88.8,17.6,37.5,8.5,8.5,37.9
"Hamilton, Billy",571740,2017,4,0.239,0.289,0.262,0.293,0.05,0.298,0.311,80.5,10.2,32.5,0.4,1.3,11.7
"Joseph, Tommy",571830,2017,22,0.238,0.401,0.298,0.29,0.163,0.366,0.324,89.3,14.1,30.9,7.3,6.5,40.3
"Lamb, Jake",571875,2017,30,0.253,0.466,0.353,0.364,0.213,0.42,0.353,88.3,12.2,34.4,9.3,5.7,36.3
"Myers, Wil",571976,2017,30,0.234,0.442,0.33,0.323,0.208,0.415,0.343,89.4,15.4,35.3,9.1,6.3,44.6
"Seager, Kyle",572122,2017,27,0.258,0.477,0.344,0.333,0.219,0.38,0.318,88.3,21,35.2,8.6,7.6,33.9
"Carpenter, Matt",572761,2017,23,0.253,0.48,0.379,0.396,0.228,0.409,0.338,89.7,22.6,37.7,8.2,8.4,37.2
"Dickerson, Corey",572816,2017,27,0.255,0.444,0.314,0.299,0.19,0.396,0.343,87.2,13.9,35.6,7.5,4.6,31.7
"Dozier, Brian",572821,2017,34,0.244,0.468,0.342,0.336,0.224,0.384,0.316,87.9,16.7,32,8.4,7.5,34.7
"Bryant, Kris",592178,2017,29,0.26,0.497,0.376,0.382,0.237,0.41,0.337,87,17,35.1,9.6,6.1,36.6
"Castellanos, Nick",592206,2017,26,0.293,0.542,0.373,0.342,0.249,0.454,0.38,89.1,14.2,42.8,10.7,10.5,42
"Gamel, Ben",592325,2017,11,0.254,0.378,0.297,0.304,0.124,0.353,0.333,86.3,10.9,33.2,4.1,4.6,29.3
