"last_name, first_name",player_id,year,home_run,xba,xslg,xwoba,xobp,xiso,xwobacon,xbacon,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent
"Cabrera, Asdrubal",452678,2015,15,0.227,0.385,0.292,0.283,0.158,0.336,0.289,88.3,17.3,32.1,5.4,5.7,32.3
"Tulowitzki, Troy",453064,2015,17,0.256,0.416,0.319,0.318,0.16,0.379,0.334,90,12.7,31.4,5.3,7.4,40.4
"Blackmon, Charlie",453568,2015,17,0.261,0.391,0.318,0.327,0.13,0.348,0.321,86.8,15,35.4,3.7,6.8,29
"Frazier, Todd",453943,2015,35,0.251,0.461,0.331,0.307,0.21,0.39,0.321,89.6,18.8,32.7,9,6.5,38.8
"Markakis, Nick",455976,2015,3,0.263,0.342,0.305,0.342,0.079,0.308,0.304,88.3,6.8,30.6,0.8,3.2,33.6
"Butler, Billy",456714,2015,15,0.249,0.441,0.335,0.325,0.192,0.369,0.308,89.4,8.5,30.8,7.5,7.7,40.6
"Cain, Lorenzo",456715,2015,16,0.301,0.473,0.364,0.359,0.172,0.411,0.367,90.2,9.5,35.4,5.5,5.5,38.1
"McCutchen, Andrew",457705,2015,23,0.287,0.523,0.399,0.402,0.236,0.455,0.374,90.6,13.9,41,9.3,9.5,44.6
"Jackson, Austin",457706,2015,9,0.261,0.38,0.304,0.307,0.119,0.378,0.354,89.6,7.3,34.4,3.8,3.3,39.8
"Upton, Justin",457708,2015,26,0.231,0.426,0.327,0.322,0.195,0.401,0.328,89.8,16.2,28.6,10.1,5.7,39.2
"Maybin, Cameron",457727,2015,10,0.268,0.366,0.312,0.329,0.097,0.349,0.336,88.2,2.1,26.8,2.7,2.7,35.9
"Posey III, Buster",457763,2015,19,0.31,0.499,0.378,0.377,0.189,0.387,0.342,89,10.9,33.6,6.1,6.3,37.5
"Bruce, Jay",457803,2015,26,0.242,0.444,0.325,0.312,0.202,0.391,0.322,89.7,15.6,34.2,8.1,7.7,37.6
"Votto, Joey",458015,2015,29,0.289,0.541,0.422,0.443,0.252,0.476,0.386,90.2,11.5,42.7,10.9,7.3,42.2
"Coghlan, Chris",458085,2015,16,0.244,0.402,0.325,0.337,0.158,0.356,0.311,88.5,11,32.8,5.5,5.2,33.3
"Gardner, Brett",458731,2015,16,0.258,0.394,0.332,0.346,0.136,0.376,0.343,88.8,11.1,32,4,6.3,34.9
"Braun, Ryan",460075,2015,25,0.281,0.503,0.374,0.355,0.223,0.44,0.364,92.3,7.7,31.7,10.7,5.6,45.4
"Moss, Brandon",461235,2015,19,0.232,0.464,0.336,0.314,0.231,0.44,0.345,89.1,19.8,34.9,11.7,8.3,39.5
"Kemp, Matt",461314,2015,23,0.261,0.459,0.336,0.312,0.198,0.411,0.346,89.5,12,34.4,8.3,8.8,40.5
"Plouffe, Trevor",461858,2015,22,0.251,0.441,0.33,0.315,0.19,0.379,0.319,89.8,13.6,33.5,7.9,7,39.4
"Andrus, Elvis",462101,2015,7,0.249,0.336,0.288,0.306,0.087,0.295,0.287,87.3,10.1,28,1.5,2.6,27.1
"Cervelli, Francisco",465041,2015,7,0.257,0.394,0.326,0.337,0.136,0.357,0.326,88.2,6.9,33.4,4.1,5.8,35.6
"Cabrera, Melky",466320,2015,12,0.274,0.371,0.306,0.319,0.097,0.328,0.318,89.6,9.7,30.9,2.4,2.9,36.2
"Sandoval, Pablo",467055,2015,10,0.227,0.352,0.279,0.276,0.125,0.298,0.268,88.1,9.9,28.7,4.8,4,33.5
"Ramos, Wilson",467092,2015,15,0.25,0.41,0.3,0.28,0.16,0.361,0.315,90.5,4.5,30.1,6.3,7.3,44.5
"Santana, Carlos",467793,2015,19,0.241,0.408,0.346,0.369,0.167,0.362,0.311,89.2,12.5,28.2,7.2,4.6,39.7
"Parra, Gerardo",467827,2015,14,0.259,0.389,0.303,0.301,0.13,0.339,0.312,88.2,9.3,32.8,3.2,5.4,30
"Gonzalez, Carlos",471865,2015,40,0.257,0.466,0.34,0.317,0.209,0.416,0.342,90.3,9.1,30.6,10.5,4.4,38.6
"Belt, Brandon",474832,2015,18,0.274,0.508,0.373,0.355,0.234,0.484,0.396,89.8,16.3,46.4,10,10,41.8
"Brantley Jr., Michael",488726,2015,15,0.291,0.425,0.346,0.365,0.134,0.344,0.321,89,9.5,36,3.9,4.1,36.2
"Escobar, Yunel",488862,2015,9,0.284,0.4,0.335,0.349,0.116,0.345,0.327,89.7,4.3,29.9,3,4.1,36.3
"Morrison, Logan",489149,2015,17,0.257,0.436,0.338,0.334,0.179,0.368,0.315,89.9,11.7,29,6.9,6.3,37.7
"Cespedes, Yoenis",493316,2015,35,0.294,0.546,0.38,0.336,0.252,0.468,0.381,92.2,12.2,32.4,11.1,7.6,44.8
"Ramirez, Alexei",493351,2015,10,0.244,0.314,0.268,0.285,0.07,0.279,0.278,84.7,8.6,32.2,1,2.1,22.2
"Solarte, Yangervis",500208,2015,14,0.25,0.364,0.298,0.303,0.114,0.3,0.279,88.1,11.5,29.1,2.1,4.4,31.4
"Martinez, J.D.",502110,2015,38,0.28,0.593,0.396,0.343,0.313,0.529,0.399,91.3,16.2,39.9,17.3,7.8,48.5
"Reddick, Josh",502210,2015,20,0.266,0.417,0.329,0.329,0.151,0.338,0.304,88.4,14.8,32.1,5,3.7,32.8
"Murphy, Daniel",502517,2015,14,0.284,0.455,0.335,0.327,0.171,0.344,0.306,89.9,11.9,32.3,4.7,6.2,37.9
"Goldschmidt, Paul",502671,2015,33,0.279,0.558,0.403,0.405,0.279,0.487,0.379,92,12.9,39.2,12.5,8.7,46.3
"Altuve, Jose",514888,2015,15,0.262,0.382,0.3,0.307,0.12,0.312,0.292,86.1,11.2,31.2,3.1,4.8,28.6
"Segura, Jean",516416,2015,6,0.238,0.318,0.258,0.262,0.08,0.293,0.285,86.9,4.3,25.4,1.3,3.8,27.1
"Castro, Starlin",516770,2015,11,0.241,0.37,0.28,0.275,0.129,0.318,0.288,86.3,7.1,28.2,4.3,3.9,28
"Marte, Starling",516782,2015,19,0.276,0.455,0.344,0.331,0.179,0.404,0.353,87.8,5.5,32.8,6.7,5,35.1
"Donaldson, Josh",518626,2015,41,0.28,0.546,0.39,0.359,0.266,0.448,0.353,92.5,10.5,31.1,12.2,6.8,46.5
"Heyward, Jason",518792,2015,13,0.263,0.374,0.317,0.335,0.112,0.336,0.316,89.1,4.6,23.9,2.8,4.1,34.6
"LeMahieu, DJ",518934,2015,6,0.276,0.379,0.319,0.338,0.102,0.357,0.344,90.5,2.9,32.7,1.9,4.5,40.3
"Moreland, Mitch",519048,2015,23,0.277,0.506,0.362,0.332,0.228,0.44,0.363,91.4,11.5,35.4,10.4,8.2,45.9
"Moustakas, Mike",519058,2015,22,0.264,0.436,0.339,0.332,0.172,0.352,0.306,89.4,15.2,30.3,6.4,5,36.5
"Norris, Derek",519083,2015,14,0.22,0.325,0.27,0.278,0.104,0.319,0.297,87.1,14,31.4,2.3,6.8,35.1
"Revere, Ben",519184,2015,2,0.283,0.345,0.298,0.322,0.062,0.31,0.317,83.1,5.1,34.9,0,2.1,14.6
"Rizzo, Anthony",519203,2015,31,0.275,0.496,0.383,0.386,0.221,0.401,0.333,88.7,17.3,35.7,8,7.6,38.3
"Vogt, Stephen",519390,2015,18,0.248,0.399,0.322,0.335,0.15,0.357,0.317,86.9,16.4,33.7,5.6,5.1,30.1
"Galvis, Freddy",520471,2015,7,0.237,0.33,0.272,0.28,0.093,0.305,0.291,86.1,13.2,33.2,2.1,4.3,22.1
"Perez, Salvador",521692,2015,21,0.26,0.408,0.298,0.282,0.148,0.342,0.307,87.3,13,32.8,5.3,3.3,32.6
"Forsythe, Logan",523253,2015,17,0.25,0.393,0.323,0.334,0.143,0.348,0.313,88.4,15.4,33.6,3.7,6.2,32.2
"Flores, Wilmer",527038,2015,16,0.236,0.339,0.27,0.273,0.103,0.289,0.274,86.4,14.6,32.1,1.9,5.4,25.7
"Garcia, Avisail",541645,2015,13,0.271,0.409,0.324,0.326,0.138,0.401,0.367,88.5,6.8,34.1,4.8,6.7,37.5
"Inciarte, Ender",542255,2015,6,0.258,0.335,0.286,0.3,0.077,0.296,0.292,85.5,6.8,28.8,1.3,2.3,19.9
"Burns, Billy",542993,2015,5,0.239,0.288,0.26,0.284,0.05,0.278,0.284,83.2,8.1,26.9,0.5,1.1,14.7
"Crawford, Brandon",543063,2015,21,0.262,0.484,0.349,0.33,0.221,0.422,0.345,90.3,8.6,34.2,8.7,8.2,42.9
"Giavotella, Johnny",543213,2015,4,0.259,0.337,0.291,0.31,0.077,0.301,0.297,85.8,10,30.1,1,2.7,19.6
"Gose, Anthony",543238,2015,5,0.224,0.309,0.276,0.295,0.085,0.337,0.323,88.2,6.1,30.4,2.3,3.2,30.7
"Hosmer, Eric",543333,2015,18,0.289,0.466,0.361,0.359,0.178,0.402,0.354,89.8,6,29.9,7.1,5.7,40.8
"Kipnis, Jason",543401,2015,9,0.293,0.429,0.349,0.366,0.135,0.386,0.361,89.4,9.2,35.9,2.8,6.8,38.5
"Lawrie, Brett",543434,2015,16,0.249,0.398,0.302,0.29,0.149,0.378,0.335,90,7.4,30.6,4.7,6.8,39.1
"Semien, Marcus",543760,2015,15,0.24,0.38,0.298,0.295,0.14,0.354,0.316,87.1,13.6,37.1,4.5,8,28.9
"Strange-Gordon, Dee",543829,2015,4,0.267,0.34,0.283,0.298,0.073,0.315,0.315,84.5,2.1,28.6,1.1,2.2,17
"Wong, Kolten",543939,2015,11,0.26,0.367,0.309,0.324,0.106,0.333,0.316,87.5,11.3,31.9,3,3.2,33.8
"Gregorius, Didi",544369,2015,9,0.253,0.334,0.291,0.311,0.081,0.307,0.302,85.4,10.4,33.4,1.6,2.9,24.5
"Trout, Mike",545361,2015,41,0.297,0.588,0.422,0.405,0.291,0.525,0.413,92.9,14,38.9,16.4,7.3,48.6
"Herrera, Odubel",546318,2015,8,0.243,0.353,0.291,0.296,0.11,0.356,0.333,88.7,7.5,33.1,3.2,5.1,33.9
"Harper, Bryce",547180,2015,42,0.292,0.544,0.418,0.433,0.252,0.479,0.391,91.4,14.7,37.1,12.9,7.1,47.5
"Abreu, Jose",547989,2015,30,0.27,0.456,0.338,0.33,0.185,0.408,0.352,91,9.9,30.4,9.3,5.9,41.8
"Polanco, Gregory",570256,2015,9,0.257,0.386,0.312,0.322,0.129,0.353,0.324,89.9,10.4,30.5,4.4,6.3,39.8
"Arenado, Nolan",571448,2015,42,0.264,0.484,0.336,0.308,0.22,0.393,0.323,90.6,16.3,33.7,8.3,7.9,40.2
"Holt, Brock",571788,2015,2,0.253,0.331,0.299,0.327,0.078,0.327,0.324,86.6,7.8,31.7,0.6,3.9,24.2
"Owings, Chris",572008,2015,4,0.227,0.325,0.261,0.266,0.099,0.338,0.319,86.9,14.6,32.8,2.6,3.9,24.9
"Pollock, AJ",572041,2015,20,0.292,0.442,0.347,0.348,0.15,0.371,0.339,88.9,8.9,31.2,5.7,6.4,39.1
"Seager, Kyle",572122,2015,26,0.282,0.467,0.353,0.345,0.185,0.385,0.336,89.3,16.8,36.1,7,4.2,34.6
"Taylor, Michael A.",572191,2015,14,0.232,0.382,0.288,0.288,0.15,0.404,0.354,88.7,9.8,32.8,6.3,5,35.6
"Carpenter, Matt",572761,2015,28,0.282,0.523,0.389,0.379,0.24,0.472,0.387,88.9,16.9,42.4,9.1,8.2,35.8
"Dozier, Brian",572821,2015,28,0.22,0.38,0.299,0.296,0.16,0.338,0.287,87.2,19.1,34.2,5.9,6.4,31.1
"Bryant, Kris",592178,2015,26,0.234,0.475,0.354,0.335,0.241,0.469,0.362,89.7,19.6,33.7,11.5,9.3,43.8
"Castellanos, Nick",592206,2015,15,0.257,0.436,0.322,0.306,0.18,0.41,0.353,88.3,16.9,37.5,7.7,6.5,34.5
"Machado, Manny",592518,2015,35,0.262,0.447,0.345,0.339,0.185,0.371,0.318,91.4,12.8,29.7,7.6,5.5,41.7
"Pederson, Joc",592626,2015,26,0.215,0.431,0.348,0.354,0.217,0.435,0.337,91.2,13.8,28.3,11.8,5.7,45.2
"Simmons, Andrelton",592743,2015,4,0.274,0.355,0.305,0.331,0.081,0.304,0.301,86.4,3.5,27.8,1,3.3,29
"Yelich, Christian",592885,2015,7,0.296,0.435,0.352,0.363,0.138,0.406,0.378,91.7,0.1,30.1,4.8,5.6,45.1
"Bogaerts, Xander",593428,2015,7,0.271,0.362,0.3,0.311,0.09,0.333,0.325,88,6.8,28,2.5,2.7,33.8
"Calhoun, Kole",594777,2015,26,0.246,0.421,0.317,0.301,0.176,0.389,0.332,86.2,11.6,35.6,6.8,5.5,32.2
"Eaton, Adam",594809,2015,14,0.251,0.35,0.308,0.332,0.1,0.338,0.322,88.1,7.5,26.7,3.1,2.5,30.9
"Gattis, Evan",594828,2015,27,0.244,0.415,0.304,0.285,0.171,0.359,0.309,88.9,10.6,29.6,7.1,7.3,39.2
